"n","p1","Deff","alpha","delta_p"
400,0.04,1.2,"95%",0.021036540973838
200,0.05,1.2,"95%",0.0330880003006804
300,0.05,1.2,"95%",0.0270162391152411
400,0.05,1.2,"95%",0.0233967493885136
200,0.06,1.2,"95%",0.0360548147259543
300,0.06,1.2,"95%",0.0294386329497243
400,0.06,1.2,"95%",0.0254946039871469
200,0.07,1.2,"95%",0.0387359499091364
300,0.07,1.2,"95%",0.0316277706597975
400,0.07,1.2,"95%",0.0273904528564528
200,0.08,1.2,"95%",0.0411872336436732
300,0.08,1.2,"95%",0.0336292354479306
400,0.08,1.2,"95%",0.029123772207756
200,0.09,1.2,"95%",0.0434475875566077
300,0.09,1.2,"95%",0.0354748066895282
400,0.09,1.2,"95%",0.0307220837874736
200,0.1,1.2,"95%",0.0455454472277398
300,0.1,1.2,"95%",0.0371877019382737
400,0.1,1.2,"95%",0.0322054945869088
200,0.11,1.2,"95%",0.0475023463765289
300,0.11,1.2,"95%",0.0387855034024804
400,0.11,1.2,"95%",0.0335892312451158
200,0.12,1.2,"95%",0.0493350616579304
300,0.12,1.2,"95%",0.0402819091635587
400,0.12,1.2,"95%",0.034885156648579
200,0.13,1.2,"95%",0.0510569677490059
300,0.13,1.2,"95%",0.0416878395996005
400,0.13,1.2,"95%",0.036102728122145
200,0.14,1.2,"95%",0.0526789317665937
300,0.14,1.2,"95%",0.0430121676743487
400,0.14,1.2,"95%",0.0372496298778218
200,0.15,1.2,"95%",0.0542099252704798
300,0.15,1.2,"95%",0.0442622186356943
400,0.15,1.2,"95%",0.0383322057663723
200,0.16,1.2,"95%",0.0556574558617957
300,0.16,1.2,"95%",0.045444122414292
400,0.16,1.2,"95%",0.0393557644634667
200,0.17,1.2,"95%",0.0570278794766178
300,0.17,1.2,"95%",0.0465630686102169
400,0.17,1.2,"95%",0.0403248002946056
200,0.18,1.2,"95%",0.0583266314097318
300,0.18,1.2,"95%",0.0476234951230778
400,0.18,1.2,"95%",0.0412431565935897
200,0.19,1.2,"95%",0.0595584005412247
300,0.19,1.2,"95%",0.048629230407434
400,0.19,1.2,"95%",0.0421141488993245
200,0.2,1.2,"95%",0.0607272629703197
300,0.2,1.2,"95%",0.0495836025843649
400,0.2,1.2,"95%",0.0429406594492118
200,0.21,1.2,"95%",0.0618367860591002
300,0.21,1.2,"95%",0.0504895243928146
400,0.21,1.2,"95%",0.0437252107491715
200,0.22,1.2,"95%",0.0628901105245226
300,0.22,1.2,"95%",0.0513495602174395
400,0.22,1.2,"95%",0.0444700236214614
200,0.23,1.2,"95%",0.0638900159873949
300,0.23,1.2,"95%",0.0521659796091257
400,0.23,1.2,"95%",0.0451770635548039
200,0.24,1.2,"95%",0.0648389738765787
300,0.24,1.2,"95%",0.0529408004810886
400,0.24,1.2,"95%",0.0458480781133062
200,0.25,1.2,"95%",0.0657391905432436
300,0.25,1.2,"95%",0.0536758243115147
400,0.25,1.2,"95%",0.0464846274228421
200,0.26,1.2,"95%",0.0665926427063027
300,0.26,1.2,"95%",0.0543726650846379
400,0.26,1.2,"95%",0.0470881092347596
200,0.27,1.2,"95%",0.0674011068258739
300,0.27,1.2,"95%",0.0550327732740705
400,0.27,1.2,"95%",0.0476597796960544
200,0.28,1.2,"95%",0.0681661836214381
300,0.28,1.2,"95%",0.0556574558617957
400,0.28,1.2,"95%",0.0482007706863262
200,0.29,1.2,"95%",0.0688893186719503
300,0.29,1.2,"95%",0.056247893158088
400,0.29,1.2,"95%",0.0487121043842571
200,0.3,1.2,"95%",0.0695718198272447
300,0.3,1.2,"95%",0.0568051530178651
400,0.3,1.2,"95%",0.0491947055793334
200,0.31,1.2,"95%",0.070214872003578
300,0.31,1.2,"95%",0.0573302029211993
400,0.31,1.2,"95%",0.0496494121338754
200,0.32,1.2,"95%",0.0708195498171109
300,0.32,1.2,"95%",0.0578239202885118
400,0.32,1.2,"95%",0.0500769839162576
200,0.33,1.2,"95%",0.0713868284176628
300,0.33,1.2,"95%",0.0582871013262959
400,0.33,1.2,"95%",0.0504781104615299
200,0.34,1.2,"95%",0.0719175928141548
300,0.34,1.2,"95%",0.0587204686413098
400,0.34,1.2,"95%",0.0508534175655018
200,0.35,1.2,"95%",0.0724126459276795
300,0.35,1.2,"95%",0.0591246778158803
400,0.35,1.2,"95%",0.0512034729791226
200,0.36,1.2,"95%",0.0728727155643836
300,0.36,1.2,"95%",0.0595003231012379
400,0.36,1.2,"95%",0.0515287913390541
200,0.37,1.2,"95%",0.0732984604655705
300,0.37,1.2,"95%",0.0598479423574044
400,0.37,1.2,"95%",0.051829838445739
200,0.38,1.2,"95%",0.0736904755645749
300,0.38,1.2,"95%",0.0601680213454136
400,0.38,1.2,"95%",0.0521070349805725
200,0.39,1.2,"95%",0.0740492965574879
300,0.39,1.2,"95%",0.0604609974592921
400,0.39,1.2,"95%",0.0523607597378934
200,0.4,1.2,"95%",0.0743754038765474
300,0.4,1.2,"95%",0.0607272629703197
400,0.4,1.2,"95%",0.0525913524345949
200,0.01,1.6,"95%",0.0174425783242895
300,0.01,1.6,"95%",0.0142418055643465
400,0.01,1.6,"95%",0.0123337654144826
200,0.02,1.6,"95%",0.0245426311361443
300,0.02,1.6,"95%",0.0200389744096322
400,0.02,1.6,"95%",0.0173542609045277
200,0.03,1.6,"95%",0.0299047088843478
300,0.03,1.6,"95%",0.024417092557709
400,0.03,1.6,"95%",0.0211458224415319
200,0.04,1.6,"95%",0.0343525275593694
300,0.04,1.6,"95%",0.0280487212984506
400,0.04,1.6,"95%",0.0242909051881279
200,0.05,1.6,"95%",0.0382067317610885
300,0.05,1.6,"95%",0.0311956658513515
400,0.05,1.6,"95%",0.0270162391152411
200,0.06,1.6,"95%",0.0416325139752236
300,0.06,1.6,"95%",0.0339928053161958
400,0.06,1.6,"95%",0.0294386329497243
200,0.07,1.6,"95%",0.0447284222147115
300,0.07,1.6,"95%",0.0365206038086037
400,0.07,1.6,"95%",0.0316277706597975
