"Antimicrobial","Species","Animal","LI","LC","M","UC","UI"
"CP","E.coli","Calves",0.0182887546855975,0.0286723700871656,0.0353747067772017,0.0436402987233026,0.0625166436803888
"CP","E.coli","Pigs",0.00659892777960969,0.0127964208720375,0.0172224390633409,0.0226268874814888,0.0372296484347082
"CP","E.coli","Poultry",0.00674938363597509,0.0129856752996091,0.0173546234005334,0.0230718967917083,0.0375208053131114
"CTAX","E.coli","Calves",1.9739918384061e-05,0.000276698837710574,0.000809063472461692,0.00196459123126419,0.00741901284210052
"CTAX","E.coli","Pigs",1.99398843329638e-05,0.000261308375490848,0.000812812412933877,0.00196465333117455,0.00734827622707558
"CTAX","E.coli","Poultry",2.70596764456164e-05,0.000296320263749338,0.000817579156840507,0.00199466297118964,0.00670652297436713
"CTAZ","E.coli","Calves",2.78799792923087e-05,0.00028938256637836,0.000832768746588011,0.00195587045108459,0.00675808601011002
"CTAZ","E.coli","Pigs",2.55457575610315e-05,0.00029837177976554,0.000807795823383027,0.00194906839633998,0.00664911689255916
"CTAZ","E.coli","Poultry",2.17839687584994e-05,0.000279283900118498,0.00081990448696167,0.00193131054437215,0.00716599025165811
"EM","Campylobacter","Calves",3.81245110592437e-05,0.000707163846302837,0.00234292867154954,0.00669004535372914,0.0282779931207046
"EM","Enterococci","Calves",0.0669974308617694,0.0876511466295723,0.0998703501981866,0.113110074475775,0.142312592554735
"EM","Campylobacter","Pigs",0.0194729456437917,0.0735696547955691,0.135106516245401,0.221540448788087,0.436437802402815
"EM","Enterococci","Pigs",0.192421072941893,0.236291864786396,0.262580420629125,0.288935323293498,0.349283131990189
"EM","Campylobacter","Poultry",2.27474430573377e-05,0.000290215657136371,0.000845739876386068,0.00206824200361637,0.007254099539601
"EM","Enterococci","Poultry",0.209050005258756,0.260376424326515,0.288186329388852,0.318442401683105,0.379049672368646
"GM","Campylobacter","Calves",4.39598846476536e-05,0.000719364550181997,0.0025134300200507,0.00681781110857313,0.027882885258427
"GM","E.coli","Calves",2.76668159391642e-05,0.00029704610205133,0.000836083900831157,0.00196369592236241,0.00723983075907361
"GM","Enterococci","Calves",2.66754549397227e-05,0.000322972389071824,0.000867531349933221,0.00211407271561912,0.00775117038885244
"GM","Campylobacter","Pigs",6.72256437252596e-05,0.00134659775819618,0.00561531933906137,0.0188002949732858,0.10662979831906
"GM","E.coli","Pigs",2.82865977579889e-05,0.000297249297561087,0.000843202510614519,0.00198066541107191,0.00714387426575074
"GM","Enterococci","Pigs",0.0346302100131053,0.0508136399035676,0.0604046955799135,0.0725040974851737,0.100888833190993
"GM","Campylobacter","Poultry",2.63291154384599e-05,0.000278157812394425,0.000836129812886116,0.00211158334672214,0.00710649060235983
"GM","E.coli","Poultry",2.30592490494295e-05,0.000280908123291999,0.000838302591310573,0.0019834866740259,0.00715882942972756
"GM","Enterococci","Poultry",2.82159272870403e-05,0.000296516547492673,0.000840969041943124,0.00203879612774421,0.0072102778721033
"NE","E.coli","Calves",0.216915747026762,0.254016247085807,0.275551481783264,0.298369655828792,0.345143758541045
"NE","E.coli","Pigs",0.0100302817816877,0.017726292195016,0.0235913085749708,0.0306090189141481,0.0482894115431514
"NE","E.coli","Poultry",0.0121737117181579,0.0207016733386057,0.0268079980099442,0.0343533975878266,0.0524468331131666
"NI","Enterococci","Calves",0.0176667776513417,0.0278862759500223,0.0351270605247429,0.0432556353557101,0.0619335516530988
"NI","Enterococci","Pigs",0.0221360741911827,0.0346293532721063,0.0427779972370839,0.0525360098265278,0.0753394340911961
"NI","Enterococci","Poultry",0.110976895289405,0.145583171900404,0.166423782289185,0.18921472935513,0.238191792595549
"NX","Campylobacter","Calves",4.19502238565974e-05,0.000700756599048318,0.00239729369348457,0.00668735651332083,0.0297732366198331
"NX","E.coli","Calves",0.000346541349950994,0.00158072108581241,0.00307655538048339,0.00541806808479341,0.0130133056350832
"NX","Campylobacter","Pigs",7.56487048290712e-05,0.00153667785172757,0.00571684172166839,0.019376679704984,0.103844338570928
"NX","E.coli","Pigs",0.00101242439048523,0.00345394806383047,0.00558729298230574,0.00876661288335085,0.0172432757813627
"NX","Campylobacter","Poultry",0.0092786507874452,0.0175144412829635,0.0229216285687569,0.0296196955347016,0.0465401977544747
"NX","E.coli","Poultry",0.0283644774071574,0.0426335505781188,0.0524972816969287,0.0640612933920542,0.0903971128953439
"QD","Enterococci","Calves",0.558392196632113,0.608494082527121,0.633569112147072,0.65798784692162,0.703105411257135
"QD","Enterococci","Pigs",0.748985909045983,0.798857913021834,0.822374585637489,0.842605342872434,0.875723561445163
"QD","Enterococci","Poultry",0.519933950247711,0.583612916054665,0.616291947981676,0.647892248720771,0.704674509333913
"SFM","E.coli","Calves",0.369187193437889,0.416694132413665,0.4417748338661,0.466499797297962,0.513620989846835
"SFM","E.coli","Pigs",0.243102119624318,0.29183327702701,0.319463996268064,0.349271547951972,0.408146387098815
"SFM","E.coli","Poultry",0.210655961309451,0.257268872366475,0.285517627132477,0.316406090122149,0.376252815969
"SM","Campylobacter","Calves",0.0173538963358309,0.0409348770212885,0.05938382423849,0.0840700458762833,0.141622258796436
"SM","E.coli","Calves",0.360999105648658,0.408493288232689,0.433580741097332,0.457843401348543,0.506568373264566
